lang,word_original,word_translation
te_translit,book,"pustakam,grandham,potham,noolu,rachana"
te_translit,cloud,"megham,abhram,jalaavartam,vaataavaranam,meghaavrutam"
te_translit,bag,"sanchi,paita,pette,compartment,sanchulu"
te_translit,mouth,"noru,noti,mukham,vaakku,pedavi"
te_translit,soil,"naela,matti,bhoomi,podi,magadam"
te_translit,mountain,"parvatam,konda,sikharam,aalayam,adavi"
te_translit,cloth,"batta,vastram,kampu,kappu,vastramu"
te_translit,heart,"hrudayam,manasu,gunde,hrudayakavacham,manovegam"
te_translit,hand,"chethi,panja,karamu,hastamu,paanhi"
te_translit,day,"roeju,dinamu,pagalu,divasamu,velugu"
te_translit,star,"nakshatram,taara,pramukhudu,kalakarudu,natudu"
te_translit,spring,"vasantam,pushpinchu,pooyu,chigurinchu,podarillu"
te_translit,moon,"chandrudu,nela,indrudu,shashi,nisaakarudu"
te_translit,wood,"kalapa,cheku,daaruvu,katte,chendu"
te_translit,village,"gramam,palle,ooru,janapadam,gramakam"
te_translit,forest,"adavi,vanamu,aranyamu,kananamu,jangil"
te_translit,fruit,"pandu,phalamu,kaaya,palamu,phalam"
te_translit,grid,"taaraaganam,jaalakam,vadapogu,chaturasram,nirmaanam"
te_translit,song,"paata,geetam,gaanam,keertana,raagam"
te_translit,water,"neeru,jalam,salilam,udakam,jalamu"
te_translit,pond,"cheruvu,kunta,kalava,jalaasayam,sarassu"
te_translit,sand,"marika,bankamatti,isuka,gajani,mettamatti"
te_translit,river,"nadhi,sarita,jaladhi,neeru,dhaara"
te_translit,law,"chattam,nyayam,dharmam,neethi,saasanam"
te_translit,wave,"tarangam,ala,kalla,nadaka,sanchalanam"
te_translit,ocean,"samudram,kadali,jaladhi,sagaram,peddasamudram"
te_translit,cave,"guha,guha,aavaranam,guhasayam,nivasam"
te_translit,sea,"samudram,kadali,sagaram,jaladhi,penumati"
te_translit,lake,"sarassu,cheruvu,kolanu,jalaasayam,samudram"
te_translit,source,"muulam,janakam,aadharam,utpatti,asalu"
te_translit,fire,"agni,nippu,jwaala,manta,shikha"
te_translit,point,"binduvu,sthaanam,sthalam,amsam,mukhyaamsam"
te_translit,version,"version,roopam,samskarana,mudrana,sanchika"
te_translit,ball,"banthi,golam,pandika,gundu,aatabanti"
te_translit,painting,"chitram,varnachitram,chitralekhanam,natyam,alankarana"
te_translit,station,"station,kendram,sthaavaram,depo,mukaamu"
te_translit,rice,"biyyam,annam,dhanyam,vari,akshatalu"
te_translit,red,"erupu,raktavarnam,kempu,raktam,dhairyam"
te_translit,line,"rekha,geetha,varusa,pankthi,sarri"
te_translit,net,"vala,jaalam,nett,theega,jalam"
