lang,word_original,word_translation,blank_prompt_translation_masked
ml,book,"પુસ્તક, ગ્રંથ, પોથી, કિતાબ, ધર્મપુસ્તક","""___"" નો ઉપયોગ વાર્તાઓ વાંચવા માટે થાય છે. જવાબ: ""પુસ્તક""."
ml,cloud,"વાદળ, અભ્ર, મેઘ, ઝાંખા, ધૂમ્ર","એક ""___"" વાતાવરણમાં તરતું સંઘનિત પાણીના વાષ્પનો દેખાતો દળ છે. જવાબ: ""વાદળ""."
ml,bag,"બેગ, થેલી, પેટા, પોટલો, બોરિયો","એક ""___"" વસ્તુઓ લઈ જવા માટે વપરાય છે. જવાબ: ""બેગ""."
ml,mouth,"મોં, મુખ, ઓષ્ઠ, મુખમાં, મુખદ્વાર","""___"" ખોરાક ખાવા અને બોલવા માટે વપરાય છે. જવાબ: ""મોં""."
ml,soil,"માટી, જમીન, ભૂમિ, ધરતી, ભોગોળ","""એક """"___"""" વૃક્ષો અને પાકના વાવેતર માટે વપરાય છે. જવાબ: """"માટી""""."""
ml,mountain,"પર્વત, ગિરિ, શિખર, કોટ, પહાડ","એક ""___"" પૃથ્વીની સપાટીનો એક મોટો કુદરતી ઉછાળો છે. જવાબ: ""પર્વત""."
ml,cloth,"કાપડ, વસ્ત્ર, લુગડા, પરિધાન, વાસ્ત્ર","એક ""___"" નો ઉપયોગ સપાટીઓને સાફ કરવા માટે અથવા શરીરને ઢાંકવા માટે થાય છે. જવાબ: ""કાપડ""."
ml,heart,"હૃદય, દિલ, મન, આતમા, હેત","એક ""___"" એ એક અવયવ છે જે શરીરમાં રક્તને પમ્પ કરે છે. જવાબ: ""હૃદય""."
ml,hand,"હાથ, પંજા, કર, હસ્ત, પાંજરું","એક ""___"" વસ્તુઓને પકડવા અથવા ધરવા માટે વપરાય છે. જવાબ: ""હાથ""."
ml,day,"દિવસ, દिन, વસ, સવિતા, ઉજાસ","""___"" એ 24 કલાકનો સમયગાળો છે, ઘણીવાર પૃથ્વીને એક પરિભ્રમણ પૂર્ણ કરવામાં લાગતા સમય તરીકે સમજવામાં આવે છે. જવાબ: ""દિવસ""."
ml,star,"તારો, તારક, નક્ષત્ર, આભ, તેજસ્વી","""___"" એ એક આકાશી પદાર્થ છે જે રાત્રિના આકાશમાં ચમકે છે. જવાબ: ""તારો""."
ml,spring,"વસંત, બસંત, ઋતુ, મોસમ, પાનખર","""___"" એક એવું ઉપકરણ છે જે યાંત્રિક ઊર્જા સંગ્રહીત કરે છે અને જેને સંપીવી શકાય છે અથવા ખેંચી શકાય છે. જવાબ: ""સ્પ્રિંગ""."
ml,moon,"ચંદ્ર, ચાંદ, ઇંદુ, નિશાકર, શશિ","એક ""___"" એ કુદરતી ઉપગ્રહ છે જે ગ્રહની આસપાસ પરિભ્રમણ કરે છે. જવાબ: ""ચંદ્ર""."
ml,wood,"લાકડું, કાઠી, દારુ, કાષ્ઠ, વનસ્પતિ","એક ""___"" નો ઉપયોગ ફર્નિચર બનાવવા માટે થાય છે. જવાબ: ""લાકડું""."
ml,village,"ગામ, ગ્રામ, પાડા, ગાંવ, ગ્રામજન","""___"" એ ગ્રામીણ વિસ્તારમાં એક નાનું સમુદાય અથવા ઘરોનું એક જૂથ છે. જવાબ: ""ગામ""."
ml,forest,"જંગલ, વન, અરણ્ય, વનપ્રદેશ, કાનપ્રદેશ","""___"" એક મોટો વિસ્તાર છે જે મુખ્યત્વે વૃક્ષો અને નીચલા છોડથી આવરેલો છે. જવાબ: ""જંગલ""."
ml,fruit,"ફળ, ફળદ્રુપ, ફળિયું, ફળદ્રુપતા, ફળવિશેષ","'એક ""___"" એવો ખોરાકનો પ્રકાર છે જે ઘણીવાર મીઠો હોય છે અને છોડમાંથી મળે છે. જવાબ: ""ફળ"".'"
ml,grid,"જાળ, જાળી, નેટવર્ક, કાવતરા, ફલક","""___"" એ એક રેખાઓનું જાળું છે જે એકબીજાને કાટખૂણે મળીને ચોરસ અથવા આયતાકારની શ્રેણી બનાવે છે. જવાબ: ""ગ્રિડ""."
ml,song,"ગીત, ગાન, સુર, ધૂન, રાગ","""___"" એ શબ્દો સાથેનું સંગીતનું ટુકડું છે જે ગાવામાં આવે છે. જવાબ: ""ગીત""."
ml,water,"પાણી, જળ, ઉદક, નીર, સલિલ","""એક """"___"""" જીવન માટે જરૂરી છે અને પીવા અને સફાઈ માટે વપરાય છે. જવાબ: """"પાણી""""."""
ml,pond,"તળાવ, સરોવર, કુંડ, જળાશય, તાપી","એક ""___"" એ સ્થિર પાણીનું એક નાનું શરીર છે. જવાબ: ""તળાવ""."
ml,sand,"રેતી, રણ, ધૂળ, કંકર, જમાં","""એક """"___"""" નો ઉપયોગ દરિયાકિનારે કિલ્લા બનાવવા માટે થાય છે. જવાબ: """"રેતી""""."""
ml,river,"નદી, સરિતા, જળધારા, નિર્જર, ધારા","""___"" એ મોટું, વહેતું પાણીનું શરીર છે જે સામાન્ય રીતે સમુદ્ર અથવા મહાસાગરમાં ખાલી થાય છે. જવાબ: ""નદી""."
ml,law,"કાયદો, નિયમ, ધર્મ, શાસન, ન્યાય","'એક ""___"" એ નિયમોની પ્રણાલી છે જે ગુનાહ, વ્યવસાયિક કરારો અને સામાજિક સંબંધો સાથે વ્યવહાર કરવા માટે એક સમાજ અથવા સરકાર દ્વારા વિકસાવવામાં આવે છે. જવાબ: ""કાયદો""."
ml,wave,"તરંગ, લહેર, લહર, મોજા, છલક","એક ""___"" એ એક અસ્થિરતા છે જે દ્રવ્ય અથવા અવકાશ દ્વારા ઊર્જાનું સ્થાનાંતરણ કરે છે. જવાબ: ""તરંગ""."
ml,ocean,"સમુદ્ર, જળધર, પાણી, સાગર, જલાશય","""___"" એ મોટું ખારું પાણીનું ભાગ છે જે પૃથ્વીની સપાટીના મોટાભાગને આવરી લે છે. જવાબ: ""મહાસાગર""."
ml,cave,"ગુફા, ગુહા, ખડકાળ, આડ, ખોદાણ","""___"" એ એક કુદરતી ભૂગર્ભ જગ્યા છે જે માનવ માટે પ્રવેશ કરવા માટે પૂરતી મોટી છે. જવાબ: ""ગુફા""."
ml,sea,"સમુદ્ર, દરિયો, જલ, પાણી, સાગર","""___"" એ મીઠા પાણીનો એક મોટો જળાશય છે જે એક મહાસાગર કરતા નાનો છે. જવાબ: ""સમુદ્ર""."
