lang,word_original,word_translation,blank_prompt_translation_masked
ml,book,"წიგნი, ნაწარმოები, გამოცემა, ლიტერატურა, პუბლიკაცია","ერთი """"___"""" იხმარება ისტორიების წასაკითხად. პასუხი: ""წიგნი""."
ml,cloud,"სივრცე, ღრუბელი, მალა, ნისველი, ღრუბლი","""""___"""" არის შებერებული წყლის ორთქლის ხილვადი მასა, რომელიც ატმოსფეროში ტირის. პასუხი: ""ღრუბელი""."
ml,bag,"ჩანთა, ტომა, საქონელი, კარადი, პორტფელი","""""___"""" გამოიყენება საგნების ტარებისთვის. პასუხი: ""გამწმენდი""."
ml,mouth,"პირი, სახე, ლაყვა, ნახვა, შესასვლელი","""""___"""" გამოიყენება საკვების ჭამად და საუბრად. პასუხი: ""პირი""."
ml,soil,"ნიადაგი, მიწა, ჰუმუსი, სასუქი, თიხა","""""___"""" ხეებისა და კულტურების გასაშენებლად გამოიყენება. პასუხი: ""ნიადაგი""."
ml,mountain,"მთა, გორა, კავკასიონი, სამხრე, ბორცვი","""""___"""" დედამიწის ზედაპირის დიდი ბუნებრივი ამაღლებაა. პასუხი: ""მთა""."
ml,cloth,"ტანსაცმელი, სამოსელი, ქსოვილი, ნაჭერი, ფაბრიკა","""""___"""" გამოიყენება ზედაპირების საძეწკებლად ან სხეულების დასაფარად. პასუხი: ""საცვალი""."
ml,heart,"გული, სიყვარული, გრძნობა, შინა, სული","""""___"""" არის ორგანო, რომელიც სისხლს მთელ სხეულში გზავნის. პასუხი: ""გული""."
ml,hand,"ხელი, მკლავი, მუხლი, თითი, ლაპი","""""___"""" გამოიყენება ობიექტების საჭიდებად ან საკავებლად. პასუხი: ""ხელი""."
ml,day,"დღე, დღეისათვის, მზე, საათი, პერიოდი","""""___"""" 24 საათიანი პერიოდია, რომელიც ხშირად გაგებულია, როგორც დედამიწის ერთი როტაციის შესრულებაში გატარებული დრო. პასუხი: ""დღე""."
ml,star,"ვარსკვლავი, ასტერო, ასტრა, შემსრულებელი, ზოდიაკო","""""___"""" ცელესტიური სხეულია, რომელიც ღამის ცაზე ანათებს. პასუხი: ""ვარსკვლავი""."
ml,spring,"გაზაფხული, გაზრდა, წყარო, საწყისი, აღმასვლა","""___"" არის მოწყობილობა, რომელიც ინახავს მექანიკურ ენერგიას და შეიძლება შეიკუმშოს ან გაიჭიმოს. პასუხი: ""სწრაფი""."
ml,moon,"მთვარე, სელენა, ლუნა, მენა, მთვარეობა","""""___"""" პლანეტის გარშემო მოძრავი ბუნებრივი თანამგზავარია. პასუხი: ""მთვარე""."
ml,wood,"მერქანი, ხე, ტყე, მასალა, ნაგავი","ერთი ""___"" გამოიყენება მებელის დასამზადებლად. პასუხი: ""ხე""."
ml,village,"სოფელი, დაბა, თემი, აული, სასოფლო","""""___"""" პატარა საზოგადოება ან სახლების ჯგუფია სასოფლო ტერიტორიაზე. პასუხი: ""სოფელი""."
ml,forest,"ტყე, სატყეო, მერქანი, ხესრეული, სახევარი","""___"" არის დიდი ტერიტორია, რომელიც ძირითადად ტყეებითა და ქვეტყითაა დაფარული. პასუხი: ""ტყე""."
ml,fruit,"ხილი, ნაყოფი, კენკრა, რბილი, კული","""""___"""" სახეობის საკვებია, რომელიც ხშირად ტკბილია და მოდის მცენარიდან. პასუხი: ""ხილი""."
ml,grid,"კვადრატი, ბადე, სისტემა, ქსელი, სქემა","""""___"""" არის ხაზების ქსელი, რომელიც ერთმანეთს კვეცს და ქმნის კვადრატების ან მართკუთხედების სერიას. პასუხი: ""გრიდი""."
