lang,word_original,word_translation,blank_prompt_translation_masked
ml,book,"പുസ്തകം, ഗ്രന്ഥം, പാഠപുസ്തകം, നോൾ, ഗ്രംഥം","ഒരു ""___"" കഥകൾ വായിക്കാൻ ഉപയോഗിക്കുന്നു. ഉത്തരം: ""പുസ്തകം""."
ml,cloud,"മേഘം, അഭ്രം, ജലാവി, വാതില്യം, നീഹാരിക","ഒരു ""___"" അന്തരീക്ഷത്തിൽ സഞ്ചരിക്കുന്ന സാന്ദ്രീകൃത ജലബാഷ്പത്തിന്റെ ദൃശ്യമായ പിണ്ഡമാണ്. ഉത്തരം: ""മേഘം""."
ml,bag,"സഞ്ചി, പെട്ടി, കിട്ടി, പുത്ത, പൈക്ക്","ഒരു ""___"" വസ്തുക്കൾ വഹിക്കാൻ ഉപയോഗിക്കുന്നു. ഉത്തരം: ""ബാഗ്""."
ml,mouth,"വായ, മുഖം, താടി, ചുണ്ട്","ഒരു ""___"" ഭക്ഷണം കഴിക്കാനും സംസാരിക്കാനും ഉപയോഗിക്കുന്നു. ഉത്തരം: ""വായ""."
ml,soil,"മണ്ണ്, പൊടി, ഭൂമി, പുഴുക്ക, തരിസ്","മരങ്ങളും വിളകളും നടുന്നതിന് ""മണ്ണ്"" ഉപയോഗിക്കുന്നു. ഉത്തരം: ""മണ്ണ്""."
ml,mountain,"കൊടുമുടി, മല, പർവതം, കുന്ന്, പർവതം","ഒരു ""___"" ഭൂമിയുടെ ഉപരിതലത്തിന്റെ ഒരു വലിയ പ്രകൃതിദത്ത ഉയർന്ന ഭാഗമാണ്. ഉത്തരം: ""കൊടുമുടി""."
ml,cloth,"തുണി, വസ്ത്രം, ആടൈ, പട്ട്, കാപ്രി","ഒരു ""___"" ഉപരിതലങ്ങൾ വൃത്തിയാക്കാനോ ശരീരങ്ങൾ മറയ്ക്കാനോ ഉപയോഗിക്കുന്നു. ഉത്തരം: ""തുണി""."
ml,heart,"ഹൃദയം, ഹൃദയ, മനസ്സ്, ചിത്തം, മനം","ഒരു ""___"" ശരീരത്തിലുടനീളം രക്തം പമ്പ് ചെയ്യുന്ന അവയവമാണ്. ഉത്തരം: ""ഹൃദയം""."
ml,hand,"കൈ, കരം, വല, അസ്തം, പാണി","ഒരു ""___"" വസ്തുക്കളെ പിടിക്കാനോ പിടിച്ചു നിർത്താനോ ഉപയോഗിക്കുന്നു. ഉത്തരം: ""കൈ""."
ml,day,"ദിനം, പകൽ, ദിവസം, നാൾ, തിങ്കൾ","ഒരു ""___"" 24 മണിക്കൂറിന്റെ ഒരു കാലയളവാണ്, പലപ്പോഴും ഭൂമി ഒരു ഭ്രമണം പൂർത്തിയാക്കാൻ എടുക്കുന്ന സമയമായി മനസ്സിലാക്കുന്നു. ഉത്തരം: ""ദിവസം""."
ml,star,"നക്ഷത്രം, താരം, പ്രകാശം, ജ്യോതിർ, നക്ഷത്രം","ഒരു ""___"" എന്നത് രാത്രി ആകാശത്തിൽ പ്രകാശിക്കുന്ന ഒരു ആകാശ വസ്തുവാണ്. ഉത്തരം: ""നക്ഷത്രം""."
ml,spring,"വസന്തം, മുതൽക്കൂട്, വസന്തകാലം, പുഷ്പം, സ്പ്രിംഗ്","ഒരു ""___"" ഒരു ഉപകരണമാണ്, അത് യാന്ത്രിക ഊർജ്ജം സംഭരിക്കുന്നു, അത് അമർത്തുകയോ വലിച്ചുനീട്ടുകയോ ചെയ്യാം. ഉത്തരം: ""സ്പ്രിംഗ്""."
ml,moon,"ചന്ദ്രൻ, തിങ്കൾ, നിലാവ്, ചാന്ദ്രിക, നിലവ്","ഒരു ""___"" ഒരു ഗ്രഹത്തിന് ചുറ്റും പരിക്രമണം ചെയ്യുന്ന ഒരു പ്രകൃതിദത്ത ഉപഗ്രഹമാണ്. ഉത്തരം: ""ചന്ദ്രൻ""."
ml,wood,"മരം, തടി, കട്ടை, വൻമരം, തിട്ട്","ഒരു ""___"" ഫർണിച്ചർ ഉണ്ടാക്കാൻ ഉപയോഗിക്കുന്നു. ഉത്തരം: ""മരം""."
ml,village,"ഗ്രാമം, പട്ടണം, നഗരം, പഞ്ചായത്ത്, ദേശം","ഒരു ""___"" ഗ്രാമീണ പ്രദേശത്തെ ഒരു ചെറിയ സമൂഹമോ വീടുകളുടെ ഒരു ഗ്രൂപ്പോ ആണ്. ഉത്തരം: ""ഗ്രാമം""."
ml,forest,"കാട്, വനം, അരണ്യം, തടവ്, പന്തലം","ഒരു ""___"" മരങ്ങളും അടിവളർച്ചയും പ്രധാനമായും മൂടിയ വലിയ പ്രദേശമാണ്. ഉത്തരം: ""കാട്""."
ml,fruit,"പഴം, ഫലം, കായ, പൂവ, ചാറ","ഒരു ""___"" ഒരു തരം ഭക്ഷണമാണ്, പലപ്പോഴും മധുരമാണ്, ഒരു സസ്യത്തിൽ നിന്നാണ് ലഭിക്കുന്നത്. ഉത്തരം: ""പഴം""."
ml,grid,"ജാലകം, ശൃംഖല, ഗ്രിഡ്, ജാലിക, വലയം","ഒരു ""___"" ചതുരങ്ങളോ ദീർഘചതുരങ്ങളോ രൂപപ്പെടുത്തുന്നതിനായി പരസ്പരം മുറിച്ചുകടക്കുന്ന വരികളുടെ ഒരു ശൃംഖലയാണ്. ഉത്തരം: ""ഗ്രിഡ്""."
ml,song,"ഗാനം, പാട്ട്, സംഗീതം, രാഗം, ഭജനം","ഒരു ""___"" വാക്കുകളുള്ള ഒരു സംഗീത ഭാഗമാണ്, അത് പാടുന്നു. ഉത്തരം: ""ഗാനം""."
ml,water,"ജലം, വെള്ളം, നീര്, പാനി, തണ്ണീര്","ഒരു ""___"" ജീവിതത്തിന് അത്യന്താപേക്ഷിതമാണ്, കുടിക്കുന്നതിനും ക്ലീനിംഗിനും ഉപയോഗിക്കുന്നു. ഉത്തരം: ""വെള്ളം""."
ml,pond,"കുളം, തടാകം, ചെറുകുളം, കയം, ജലാശയം","ഒരു ""___"" നിശ്ചലമായ ജലത്തിന്റെ ഒരു ചെറിയ ശരീരമാണ്. ഉത്തരം: ""കുളം""."
ml,sand,"മണ്ണ്, പൊടി, ചരൽ, മരംപൊടി, പലുകയ്","കോട്ടകൾ നിർമ്മിക്കാൻ ബീച്ചിൽ ""___"" ഉപയോഗിക്കുന്നു. ഉത്തരം: ""മണൽ""."
ml,river,"നദി, അരുവി, തോട്, കായൽ, ജലം","ഒരു ""___"" സാധാരണയായി കടലിലോ സമുദ്രത്തിലോ ഒഴുകിച്ചേരുന്ന വെള്ളത്തിന്റെ വലിയ ഒഴുക്കുള്ള ശരീരമാണ്. ഉത്തരം: ""നദി""."
ml,law,"നിയമം, ചട്ടം, ക്രമം, വിധി, ശാസനം","ഒരു "" ___"" എന്നത് കുറ്റകൃത്യങ്ങൾ, കരാറുകൾ, സാമൂഹിക ബന്ധങ്ങൾ എന്നിവ നിയന്ത്രിക്കാൻ ഒരു സമൂഹമോ ഭരണകൂടമോ രൂപീകരിക്കുന്ന നിയമ സമ്പ്രദായമാണ്. ഉത്തരം: ""നിയമം""."
ml,wave,"തരംഗം, കാറ്റ്, അല, തിര, ചലനം","ഒരു ""___"" ദ്രവ്യമോ ബഹിരാകാശമോ ഇവയിലൂടെ ഊർജ്ജത്തെ കൈമാറ്റം ചെയ്യുന്ന ഒരു കുഴപ്പമാണ്. ഉത്തരം: ""തരംഗം""."
ml,ocean,"സമുദ്രം, കടൽ, പെരുംകടൽ, കടലാഴം, ജലധി","ഒരു ""___"" ഭൂമിയുടെ ഉപരിതലത്തിന്റെ ഭൂരിഭാഗവും ഉൾക്കൊള്ളുന്ന ഉപ്പുവെള്ളത്തിന്റെ ഒരു വലിയ ശരീരമാണ്. ഉത്തരം: ""സമുദ്രം""."
ml,cave,"ഗുഹ, കുട്ടി, കോവണം, പാതാളം","ഒരു ""___"" ഒരു മനുഷ്യൻ പ്രവേശിക്കാൻ പര്യാപ്തമായ വലിപ്പമുള്ള ഒരു പ്രകൃതിദത്ത ഭൂഗർഭ സ്ഥലമാണ്. ഉത്തരം: ""ഗുഹ""."
