lang,word_original,word_translation,blank_prompt_translation_masked
ml,book,"புத்தகம், நூல், ஏடு, தொகுப்பு, கட்டுரை","ஒரு """"___"""" கதைகளைப் படிக்க பயன்படுத்தப்படுகிறது. பதில்: """"புத்தகம்""""."
ml,cloud,"மேகம், வானம், முகில், துகில், வான்மதி","ஒரு ""___"" வளிமண்டலத்தில் மிதக்கும் அடர்ந்த நீராவியின் பார்வைக்கு உட்படும் திரட்சி. பதில்: ""மேகம்""."
ml,bag,"பை, சுமை, பெட்டி, பெட்டை, கூடை","ஒரு """"___"""" பொருட்களை சுமந்து செல்ல பயன்படுத்தப்படுகிறது. பதில்: ""பை""."
ml,mouth,"வாய், புழுவு, துவாரம், நுழைவாயில், வாயில்","ஒரு """"___"""" உணவை உண்ணவும் பேசவும் பயன்படுத்தப்படுகிறது. பதில்: ""வாய்""."
ml,soil,"மண், நிலம், பூமி, மணல், தரை","ஒரு """"___"""" மரங்களையும் பயிர்களையும் நடவுவதற்கு பயன்படுத்தப்படுகிறது. பதில்: ""மண்""."
ml,mountain,"மலை, குன்று, பர்வதம், அடுக்கு, கொடுமுடி","ஒரு ""___"" என்பது பூமியின் மேற்பரப்பின் ஒரு பெரிய இயற்கை உயர்வாகும். பதில்: ""மலை""."
ml,cloth,"துணி, ஆடை, பட்டு, தொட்டு, கம்பளம்","ஒரு ""___"" மேற்பரப்புகளைக் கிண்டுவதற்கு அல்லது உடல்களை மூடுவதற்கு பயன்படுத்தப்படுகிறது. பதில்: ""துணி""."
ml,heart,"இதயம், உள்ளம், மனம், அகம், உள்ளத்தில்","ஒரு """"___"""" உடல் முழுவதும் இரத்தத்தை அழுத்தும் ஒரு உறுப்பு ஆகும். பதில்: """"இதயம்""""."
ml,hand,"கை, கரம், வலம், இடம், கரம்","ஒரு """"___"""" பொருட்களைப் பிடிக்கவும் அல்லது தாங்கவும் பயன்படுத்தப்படுகிறது. பதில்: ""கை""."
ml,day,"நாள், தினம், பகல், திவசம், தினம்","ஒரு ""___"" என்பது 24 மணி நேரம், பூமி ஒரு சுற்றுக்கு எடுக்கும் நேரம் என பலரால் புரிந்து கொள்ளப்படுகிறது. பதில்: ""நாள்""."
ml,star,"நட்சத்திரம், விண்மீன், நக்ஷத்திரம், நாத்தாங்கி, விண்","ஒரு ""___"" என்பது இரவு வானத்தில் ஒளிரும் ஒரு விண்மீன் உடல். பதில்: ""நட்சத்திரம்""."
ml,spring,"இளவேனில், வசந்தம், தண்ணீரூற்று, உருக்குன்று, வெள்ளம்","ஒரு ""___"" என்பது ஒரு சாதனமாகும், இது இயந்திர சக்தியைச் சேமிக்கிறது மற்றும் அழுத்தப்படலாம் அல்லது நீட்டிக்கலாம். பதில்: ""ஸ்ப்ரிங்""."
ml,moon,"நிலா, சூரியன், சந்திரன், நிலவு, சந்திரா","ஒரு ""___"" ஒரு கிரகத்தைச் சுற்றி சுழலும் இயற்கை செயற்கைக்கோள். பதில்: ""நிலா""."
ml,wood,"மரம், கட்டை, தடி, வேலி, காடு","ஒரு """"___"""" மரம் பயன்படுத்தப்படுகிறது கருவிகளை உருவாக்க உதவுகிறது. பதில்: """"மரம்""""."
ml,village,"கிராமம், சிற்றூர், குடியிருப்பு, பட்டி, ஊர்","ஒரு """"___"""" என்பது ஒரு கிராமப்புற பகுதியில் ஒரு சிறிய சமூகம் அல்லது வீடுகளின் குழுவாகும். பதில்: """"கிராமம்""""."
ml,forest,"காடு, வனம், மரங்கள், புல்வெளி, தோப்பு","ஒரு ""___"" மரங்கள் மற்றும் கீழ் வளர்ச்சி தான் முக்கியமாக கூடிய பெரிய பரப்பு. பதில்: ""காடு""."
ml,fruit,"பழம், கனி, காய், சீத்தல், பயறு","ஒரு """"___"""" என்பது பெரும்பாலும் இனிப்பானது மற்றும் ஒரு தாவரத்திலிருந்து வரும் உணவின் ஒரு வகையாகும். பதில்: ""பழம்""."
ml,grid,"சட்டகம், ஜாலம், வலை, சக்கரம், கோலம்","ஒரு ""___"" என்பது சதுரங்கள் அல்லது செவ்வகங்களை உருவாக்க ஒன்றோடொன்று குறுக்கிட்டுச் செல்லும் கோடுகளின் வலையமைப்பாகும். பதில்: ""கிரிட்""."
ml,song,"பாடல், இசை, கீர்த்தனை, கவிதை, மெல்லிசை","ஒரு ""___"" என்பது பாடப்படும் வார்த்தைகள் கொண்ட இசையின் ஒரு துண்டு. பதில்: ""பாடல்""."
ml,water,"நீர், தண்ணீர், வெள்ளம், நீர்மம், தண்ணீர்மம்","ஒரு """"___"""" வாழ்க்கைக்கு அவசியமானது மற்றும் அது குடிப்பதற்கும் கிழிப்பதற்கும் பயன்படுத்தப்படுகிறது. பதில்: ""நீர்""."
