lang,word_original,word_translation,blank_prompt_translation_masked
ml,book,"पुस्तक, किताब, ग्रंथ, पोथी, सहिफा","एक ""___"" कहानियाँ पढ़ने के लिए उपयोग किया जाता है। उत्तर: ""पुस्तक""।"
ml,cloud,"बादल, मेघ, अभ्र, वालाहक, जलवाष्प","एक ""___"" वायुमंडल में तैरते संघनित जल वाष्प का एक दृश्य द्रव्यमान है। उत्तर: ""बादल""।"
ml,bag,"बैग, थैला, पर्स, झोला, माला","एक ""___"" का उपयोग वस्तुओं को ले जाने के लिए किया जाता है। उत्तर: ""बैग""।"
ml,mouth,"मुंह, मुख, ओठ, जीभ, वदन","एक ""___"" का उपयोग भोजन खाने और बोलने के लिए किया जाता है। उत्तर: ""मुंह""।"
ml,soil,"मिट्टी, भूमि, धरती, जमीन, मृदा","एक ""___"" पेड़ और फसल लगाने के लिए उपयोग किया जाता है। उत्तर: ""मिट्टी""।"
ml,mountain,"पर्वत, पहाड़, शिखर, गिरि, क्षितिज","एक ""___"" पृथ्वी की सतह का एक बड़ा प्राकृतिक उत्थान है। उत्तर: ""पर्वत""।"
ml,cloth,"कपड़ा, वस्त्र, कपास, रेशम, वसन","एक ""___"" को सतहों को साफ करने या शरीर को ढकने के लिए उपयोग किया जाता है। उत्तर: ""कपड़ा""।"
ml,heart,"हृदय, दिल, मन, आत्मा, सीना","एक ""___"" एक अंग है जो पूरे शरीर में रक्त पंप करता है। उत्तर: ""हृदय""।"
ml,hand,"हाथ, पंजा, कर, हस्त, मुट्ठी","एक ""___"" को वस्तुओं को पकड़ने या पकड़ रखने के लिए उपयोग किया जाता है। उत्तर: ""हाथ""।"
ml,day,"दिन, दिवस, समय, अवधि, अवधी","एक ""___"" 24 घंटे की अवधि है, अक्सर पृथ्वी को एक पूर्ण घूर्णन पूरा करने में लगने वाले समय के रूप में समझा जाता है। उत्तर: ""दिन""।"
ml,star,"तारा, नक्षत्र, सितारा, आकाशदीप, ज्योतिष","एक ""___"" एक आकाशीय पिंड है जो रात के आकाश में चमकता है। उत्तर: ""तारा""।"
ml,spring,"बसंत, ऋतु, वसंत, प्रिमवेरा, स्प्रिंग","एक ""___"" एक उपकरण है जो यांत्रिक ऊर्जा को संग्रहीत करता है और संकुचित या खींचा जा सकता है। उत्तर: ""स्प्रिंग""।"
ml,moon,"चंद्रमा, चाँद, इंदु, निशाकर, सोम","एक ""___"" एक प्राकृतिक उपग्रह है जो एक ग्रह के चारों ओर परिक्रमा करता है। उत्तर: ""चंद्रमा""।"
ml,wood,"लकड़ी, काष्ठ, दारू, इमारती, वन","एक ""___"" का उपयोग फर्नीचर बनाने के लिए किया जाता है। उत्तर: ""लकड़ी""।"
ml,village,"गांव, देहात, ग्राम, बस्ती, पल्ली","एक ""___"" ग्रामीण क्षेत्र में एक छोटा सा समुदाय या घरों का समूह है। उत्तर: ""गाँव""।"
ml,forest,"जंगल, वन, वनस्पति, आरण्य, कानन","एक ""___"" मुख्य रूप से पेड़ों और झाड़ियों से ढकी एक बड़ी भूमि है। उत्तर: ""जंगल""।"
ml,fruit,"फल, पेय, रत्न, संतान, उत्पाद","एक ""___"" एक प्रकार का भोजन है जो अक्सर मीठा होता है और एक पौधे से आता है। उत्तर: ""फल""।"
ml,grid,"जाल, ग्रिड, नक्शा, योजना, मैट्रिक्स","एक ""___"" रेखाओं का एक नेटवर्क है जो एक श्रृंखला के वर्ग या आयतकार बनाने के लिए एक दूसरे को पार करता है। उत्तर: ""ग्रिड""।"
ml,song,"गाना, संगीत, गीत, धुन","एक ""___"" संगीत का एक टुकड़ा है जिसमें शब्द होते हैं जो गाए जाते हैं। उत्तर: ""गीत""।"
ml,water,"पानी, जल, नीर, सलिल, उदक","एक ""___"" जीवन के लिए आवश्यक है और पीने और साफ करने के लिए उपयोग किया जाता है। उत्तर: ""पानी""।"
ml,pond,"तालाब, जलाशय, सरोवर, पोखर, झील","एक ""___"" स्थिर पानी का एक छोटा सा शरीर है। उत्तर: ""pond""।"
ml,sand,"रेत, बालू, धूल, मिट्टी, कंकड़","समुद्र तट पर महल बनाने के लिए एक ""___"" का उपयोग किया जाता है। उत्तर: ""रेत""।"
ml,river,"नदी, दरिया, जलधारा, सरिता, निर्झर","एक ""___"" एक बड़ा, बहता हुआ पानी का शरीर है जो आमतौर पर एक समुद्र या महासागर में खाली होता है। उत्तर: ""नदी""।"
ml,law,"कानून, नियम, विधि, अधिनियम, धारा","एक ""___"" एक नियमों का समूह है जिसे एक समाज या सरकार अपराध, व्यावसायिक समझौतों और सामाजिक संबंधों से निपटने के लिए विकसित करती है। उत्तर: ""कानून""।"
ml,wave,"लहर, तरंग, वेल, जलतरंग, उद्वेल","एक ""___"" पदार्थ या अंतरिक्ष के माध्यम से ऊर्जा को स्थानांतरित करने वाला विक्षोभ है। उत्तर: ""लहर""।"
ml,ocean,"महासागर, समुद्र, सागर, जलधि, पयोनिधि","एक ""___"" एक बड़ा नमकीन पानी का शरीर है जो पृथ्वी की अधिकांश सतह को कवर करता है। उत्तर: ""महासागर""।"
ml,cave,"गुफा, खोह, अंधकार, गह्वर, आश्रय","एक ""___"" एक प्राकृतिक भूमिगत स्थान है जो एक मानव के लिए पर्याप्त बड़ा है। उत्तर: ""गुफा""।"
ml,sea,"समुद्र, सागर, जल, पानी, महासागर","एक ""___"" एक बड़ा खारे पानी का शरीर है जो एक महासागर से छोटा है। उत्तर: ""समुद्र""।"
ml,lake,"तालाब, झील, सरोवर, जलाशय, झिलमिल","एक ""___"" एक बड़े पानी का शरीर है जो भूमि से घिरा हुआ है। उत्तर: ""lake""।"
ml,source,"स्रोत, मूल, उत्पत्ति, स्त्रोत, उद्गम","एक ""___"" जानकारी या डेटा प्रदान करने के लिए उपयोग किया जाता है। उत्तर: ""स्रोत""।"
ml,fire,"आग, जलन, धधक, ज्वाला, शोला","एक ""___"" खाना पकाने और गर्मी प्रदान करने के लिए उपयोग किया जाता है। उत्तर: ""अग्नि""।"
