lang,word_original,word_translation,blank_prompt_translation_masked
ml,book,"పుస్తకం, గ్రంథం, పోథం, నూలు, రచన","ఒక ""___"" కథలు చదవడానికి ఉపయోగిస్తారు. సమాధానం: ""పుస్తకం""."
ml,cloud,"మేఘం, అభ్రం, జలావర్తం, వాతావరణం, మేఘావృతం","ఒక ""___"" అనేది వాతావరణంలో తేలే సాంద్రీకృత నీటి ఆవిరి యొక్క దృశ్యమాన సమూహం. సమాధానం: ""మేఘం""."
ml,bag,"సంచి, పైట, పెట్టె, కంపార్ట్మెంట్, సంచులు","ఒక ""___"" వస్తువులను మోసుకెళ్లడానికి ఉపయోగిస్తారు. సమాధానం: ""బ్యాగ్""."
ml,mouth,"నోరు, నోటి, ముఖం, వాక్కు, పెదవి","ఒక ""___"" తినడానికి మరియు మాట్లాడటానికి ఉపయోగిస్తారు. సమాధానం: ""నోరు""."
ml,soil,"నేల, మట్టి, భూమి, పొడి, మాగడం","ఒక ""___"" చెట్లు మరియు పంటలను నాటడానికి ఉపయోగిస్తారు. సమాధానం: ""నేల""."
ml,mountain,"పర్వతం, కొండ, శిఖరం, ఆలయం, అడవి","ఒక ""___"" భూమి ఉపరితలం యొక్క పెద్ద సహజ ఎత్తు. సమాధానం: ""పర్వతం""."
ml,cloth,"బట్ట, వస్త్రం, కంపు, కప్పు, వస్త్రము","ఒక ""___"" ఉపరితలాలను శుభ్రం చేయడానికి లేదా శరీరాలను కప్పడానికి ఉపయోగిస్తారు. సమాధానం: ""బట్ట""."
ml,heart,"హృదయం, మనసు, గుండె, హృదయకవచం, మనోవేగం","ఒక ""___"" అనేది శరీరం అంతటా రక్తాన్ని పంపే అవయవం. సమాధానం: ""హృదయం""."
ml,hand,"చేతి, పంజా, కరము, హస్తము, పాణి","ఒక ""___"" వస్తువులను పట్టుకోవడానికి లేదా అదుపు చేయడానికి ఉపయోగిస్తారు. సమాధానం: ""చేతి""."
ml,day,"రోజు, దినము, పగలు, దివసము, వెలుగు","ఒక ""___"" అనేది 24 గంటల వ్యవధి, తరచుగా భూమి ఒక భ్రమణాన్ని పూర్తి చేయడానికి పట్టే సమయంగా అర్థం చేసుకుంటారు. సమాధానం: ""రోజు""."
ml,star,"నక్షత్రం, తార, ప్రముఖుడు, కళాకారుడు, నటుడు","ఒక ""___"" అనేది రాత్రి ఆకాశంలో వెలిగే ఖగోళ వస్తువు. సమాధానం: ""నక్షత్రం""."
ml,spring,"వసంతం, పుష్పించు, పూయు, చిగురించు, పొదరిల్లు","ఒక ""___"" అనేది ఒక పరికరం, ఇది యాంత్రిక శక్తిని నిల్వ చేస్తుంది మరియు ఇది కుదించబడవచ్చు లేదా విస్తరించబడుతుంది. సమాధానం: ""స్ప్రింగ్""."
